Wavelength (nm),Intensity
4.471641845703125000e+02,1.061979141235351562e+02
4.473731384277343750e+02,1.074270858764648438e+02
4.475820922851562500e+02,1.080625000000000000e+02
4.477910461425781250e+02,1.081875000000000000e+02
4.480000000000000000e+02,1.106145858764648438e+02
4.482089538574218750e+02,1.110833358764648438e+02
4.484179077148437500e+02,1.117500000000000000e+02
4.486268615722656250e+02,1.125000000000000000e+02
4.488358154296875000e+02,1.132187500000000000e+02
4.490447692871093750e+02,1.136250000000000000e+02
4.492537231445312500e+02,1.139062500000000000e+02
4.494626770019531250e+02,1.139479141235351562e+02
4.496716308593750000e+02,1.147187500000000000e+02
4.498805847167968750e+02,1.151145858764648438e+02
4.500895385742187500e+02,1.154583358764648438e+02
4.502984924316406250e+02,1.152395858764648438e+02
4.505074768066406250e+02,1.147083358764648438e+02
4.507164306640625000e+02,1.145000000000000000e+02
4.509253845214843750e+02,1.149270858764648438e+02
4.511343383789062500e+02,1.155520858764648438e+02
4.513432922363281250e+02,1.140520858764648438e+02
4.515522460937500000e+02,1.143229141235351562e+02
4.517611999511718750e+02,1.146979141235351562e+02
4.519701538085937500e+02,1.151979141235351562e+02
4.521791076660156250e+02,1.153645858764648438e+02
4.523880615234375000e+02,1.155312500000000000e+02
4.525970153808593750e+02,1.154895858764648438e+02
4.528059692382812500e+02,1.153854141235351562e+02
4.530149230957031250e+02,1.152812500000000000e+02
4.532238769531250000e+02,1.157604141235351562e+02
4.534328308105468750e+02,1.166354141235351562e+02
4.536417846679687500e+02,1.174791641235351562e+02
4.538507385253906250e+02,1.178125000000000000e+02
4.540596923828125000e+02,1.174583358764648438e+02
4.542686462402343750e+02,1.169375000000000000e+02
4.544776000976562500e+02,1.165833358764648438e+02
4.546865539550781250e+02,1.160937500000000000e+02
4.548955078125000000e+02,1.162500000000000000e+02
4.551044921875000000e+02,1.165833358764648438e+02
4.553134460449218750e+02,1.169270858764648438e+02
4.555223999023437500e+02,1.170937500000000000e+02
4.557313537597656250e+02,1.170000000000000000e+02
4.559403076171875000e+02,1.168333358764648438e+02
4.561492614746093750e+02,1.167604141235351562e+02
4.563582153320312500e+02,1.170729141235351562e+02
4.565671691894531250e+02,1.170000000000000000e+02
4.567761230468750000e+02,1.168645858764648438e+02
4.569850769042968750e+02,1.166145858764648438e+02
4.571940307617187500e+02,1.163645858764648438e+02
4.574029846191406250e+02,1.160312500000000000e+02
4.576119384765625000e+02,1.158333358764648438e+02
4.578208923339843750e+02,1.157395858764648438e+02
4.580298461914062500e+02,1.150520858764648438e+02
4.582388000488281250e+02,1.152812500000000000e+02
4.584477539062500000e+02,1.155833358764648438e+02
4.586567077636718750e+02,1.159791641235351562e+02
4.588656616210937500e+02,1.160833358764648438e+02
4.590746154785156250e+02,1.160625000000000000e+02
4.592835693359375000e+02,1.158958358764648438e+02
4.594925231933593750e+02,1.157187500000000000e+02
4.597015075683593750e+02,1.165937500000000000e+02
4.599104614257812500e+02,1.163229141235351562e+02
4.601194152832031250e+02,1.158437500000000000e+02
4.603283691406250000e+02,1.155104141235351562e+02
4.605373229980468750e+02,1.152187500000000000e+02
4.607462768554687500e+02,1.151875000000000000e+02
4.609552307128906250e+02,1.152083358764648438e+02
4.611641845703125000e+02,1.152812500000000000e+02
4.613731384277343750e+02,1.153020858764648438e+02
4.615820922851562500e+02,1.151770858764648438e+02
4.617910461425781250e+02,1.150000000000000000e+02
4.620000000000000000e+02,1.147916641235351562e+02
4.622089538574218750e+02,1.144895858764648438e+02
4.624179077148437500e+02,1.142916641235351562e+02
4.626268615722656250e+02,1.140208358764648438e+02
4.628358154296875000e+02,1.139895858764648438e+02
4.630447692871093750e+02,1.141354141235351562e+02
4.632537231445312500e+02,1.139687500000000000e+02
4.634626770019531250e+02,1.136041641235351562e+02
4.636716308593750000e+02,1.133125000000000000e+02
4.638805847167968750e+02,1.132291641235351562e+02
4.640895385742187500e+02,1.132187500000000000e+02
4.642984924316406250e+02,1.133958358764648438e+02
4.645074768066406250e+02,1.134791641235351562e+02
4.647164306640625000e+02,1.139583358764648438e+02
4.649253845214843750e+02,1.137500000000000000e+02
4.651343383789062500e+02,1.134895858764648438e+02
4.653432922363281250e+02,1.130208358764648438e+02
4.655522460937500000e+02,1.127291641235351562e+02
4.657611999511718750e+02,1.122604141235351562e+02
4.659701538085937500e+02,1.120000000000000000e+02
4.661791076660156250e+02,1.119583358764648438e+02
4.663880615234375000e+02,1.124270858764648438e+02
4.665970153808593750e+02,1.124479141235351562e+02
4.668059692382812500e+02,1.123333358764648438e+02
4.670149230957031250e+02,1.122812500000000000e+02
4.672238769531250000e+02,1.113125000000000000e+02
4.674328308105468750e+02,1.091666641235351562e+02
4.676417846679687500e+02,1.062708358764648438e+02
4.678507385253906250e+02,1.042708358764648438e+02
4.680596923828125000e+02,1.034375000000000000e+02
4.682686462402343750e+02,1.033229141235351562e+02
4.684776000976562500e+02,1.031250000000000000e+02
4.686865539550781250e+02,1.031458358764648438e+02
4.688955078125000000e+02,1.035104141235351562e+02
4.691044921875000000e+02,1.042500000000000000e+02
4.693134460449218750e+02,1.050416641235351562e+02
4.695223999023437500e+02,1.054479141235351562e+02
4.697313537597656250e+02,1.026458358764648438e+02
4.699403076171875000e+02,9.982291412353515625e+01
4.701492614746093750e+02,9.576041412353515625e+01
4.703582153320312500e+02,9.183333587646484375e+01
4.705671691894531250e+02,8.912500000000000000e+01
4.707761230468750000e+02,8.726041412353515625e+01
4.709850769042968750e+02,8.609375000000000000e+01
4.711940307617187500e+02,8.525000000000000000e+01
4.714029846191406250e+02,8.907291412353515625e+01
4.716119384765625000e+02,8.956250000000000000e+01
4.718208923339843750e+02,9.037500000000000000e+01
4.720298461914062500e+02,9.081250000000000000e+01
4.722388000488281250e+02,9.059375000000000000e+01
4.724477539062500000e+02,8.958333587646484375e+01
4.726567077636718750e+02,8.843750000000000000e+01
4.728656616210937500e+02,8.773958587646484375e+01
4.730746154785156250e+02,8.758333587646484375e+01
4.732835693359375000e+02,8.752083587646484375e+01
4.734925231933593750e+02,8.743750000000000000e+01
4.737015075683593750e+02,8.704166412353515625e+01
4.739104614257812500e+02,8.627083587646484375e+01
4.741194152832031250e+02,8.516666412353515625e+01
4.743283691406250000e+02,8.415625000000000000e+01
4.745373229980468750e+02,8.357291412353515625e+01
4.747462768554687500e+02,8.110416412353515625e+01
4.749552307128906250e+02,7.826041412353515625e+01
4.751641845703125000e+02,7.169791412353515625e+01
4.753731384277343750e+02,6.089583206176757812e+01
4.755820922851562500e+02,4.748958206176757812e+01
4.757910461425781250e+02,3.361458206176757812e+01
4.760000000000000000e+02,1.863541603088378906e+01
4.762089538574218750e+02,1.251041698455810547e+01
4.764179077148437500e+02,0.000000000000000000e+00
4.766268615722656250e+02,0.000000000000000000e+00
4.768358154296875000e+02,0.000000000000000000e+00
4.770447692871093750e+02,0.000000000000000000e+00
4.772537231445312500e+02,0.000000000000000000e+00
4.774626770019531250e+02,0.000000000000000000e+00
4.776716308593750000e+02,0.000000000000000000e+00
4.778805847167968750e+02,0.000000000000000000e+00
4.780895385742187500e+02,0.000000000000000000e+00
4.782984924316406250e+02,0.000000000000000000e+00
4.785074768066406250e+02,0.000000000000000000e+00
4.787164306640625000e+02,0.000000000000000000e+00
4.789253845214843750e+02,0.000000000000000000e+00
4.791343383789062500e+02,0.000000000000000000e+00
4.793432922363281250e+02,0.000000000000000000e+00
4.795522460937500000e+02,0.000000000000000000e+00
4.797611999511718750e+02,0.000000000000000000e+00
4.799701538085937500e+02,0.000000000000000000e+00
4.801791076660156250e+02,0.000000000000000000e+00
4.803880615234375000e+02,0.000000000000000000e+00
4.805970153808593750e+02,0.000000000000000000e+00
4.808059692382812500e+02,0.000000000000000000e+00
4.810149230957031250e+02,0.000000000000000000e+00
